M,k,model,seed,net_loss,net_loss_std,cash,ent_total,kl_track,l1_track,incons,n_subtrades,support_size
3,2,ind,17,-3.741211,27.093772,173.098573,12.627829,0.033242,0.168433,,66,6
3,2,base,17,2.221922,6.345836,61.203689,2.290827,0.013704,0.102883,,48,6
3,2,APMM,18,-9.131580,20.662649,155.883689,14.807186,0.021650,0.123699,,72,6
3,2,ind,18,-8.357532,32.919928,179.647651,17.478299,0.029725,0.142268,,72,6
3,2,base,18,1.412698,7.485137,64.351011,2.787379,0.015412,0.099336,,51,6
3,2,APMM,19,11.317531,13.016951,129.393275,34.419907,0.014647,0.094853,,68,6
3,2,ind,19,33.603566,31.058235,201.308163,33.033774,0.029119,0.129628,,68,6
3,2,base,19,11.513204,9.678800,70.437739,11.024093,0.010240,0.067169,,49,6
3,2,APMM,20,8.185087,10.926092,152.131345,25.060271,0.020877,0.127700,,62,6
3,2,ind,20,22.782173,23.758266,188.317200,20.870275,0.043081,0.173321,,62,6
3,2,base,20,8.132938,9.092056,83.803764,8.257320,0.016104,0.111350,,46,6
3,2,APMM,21,5.241000,12.514163,115.634865,14.916407,0.019391,0.136241,,66,6
3,2,ind,21,6.029148,20.323871,148.289385,10.625141,0.028731,0.163081,,66,6
3,2,base,21,3.809229,7.723114,59.006497,3.916228,0.013945,0.107352,,48,6
3,2,APMM,22,10.313534,9.413662,142.224572,28.169984,0.015310,0.104391,,54,6
3,2,ind,22,27.514262,27.931799,200.577130,29.194422,0.042038,0.176374,,54,6
3,2,base,22,9.705604,8.750452,91.353448,9.369903,0.014975,0.104470,,42,6
3,2,APMM,23,-0.347363,8.850989,114.970804,4.328187,0.021717,0.146967,,56,6
3,2,ind,23,0.855143,16.352950,143.675658,4.769058,0.035348,0.180830,,56,6
3,2,base,23,0.920318,4.109025,67.726942,0.903762,0.020660,0.139807,,43,6
3,2,APMM,24,-2.799015,22.182532,146.288126,26.593248,0.017481,0.114596,,70,6
3,2,ind,24,2.400064,46.651766,185.784336,31.112654,0.031846,0.155026,,70,6
3,2,base,24,4.206455,11.902921,72.091503,7.546023,0.013226,0.101371,,50,6
3,2,APMM,25,2.200620,11.143019,98.234943,9.657704,0.012926,0.104109,,66,6
3,2,ind,25,5.647744,20.293920,119.948893,8.413400,0.021737,0.129082,,66,6
3,2,base,25,2.778111,6.224928,44.922926,2.393454,0.007580,0.080778,,48,6
3,2,APMM,26,2.709861,10.761589,119.704357,13.533606,0.019530,0.132075,,58,6
3,2,ind,26,10.651874,23.000534,142.537479,11.710659,0.030500,0.169014,,58,6
3,2,base,26,4.575998,8.392124,69.753370,4.290759,0.017844,0.127983,,44,6
3,2,APMM,27,-0.951114,15.758386,91.062878,11.483518,0.013180,0.115064,,52,6
3,2,ind,27,2.870356,23.017759,102.970412,9.371722,0.017091,0.128384,,52,6
3,2,base,27,3.111885,6.458999,44.357133,2.533534,0.009009,0.096795,,41,6
3,2,APMM,28,-2.542040,13.772724,84.771126,10.930140,0.012257,0.103363,,56,6
3,2,ind,28,0.401635,23.714604,100.052155,10.297784,0.016935,0.118453,,56,6
3,2,base,28,2.156141,6.785733,39.993721,2.575097,0.008315,0.081482,,43,6
3,2,APMM,29,-0.067956,11.636656,107.251502,8.864533,0.016526,0.117038,,66,6
3,2,ind,29,-2.494127,13.459016,126.466220,5.844983,0.025482,0.133451,,66,6
3,2,base,29,1.643339,5.467715,44.183043,1.714583,0.009745,0.082600,,48,6
3,2,APMM,30,5.504717,12.111519,106.868870,21.376197,0.011832,0.098053,,58,6
3,2,ind,30,17.913218,26.936051,136.346409,17.653662,0.026739,0.135082,,58,6
3,2,base,30,6.561092,10.125751,62.187310,6.986641,0.012060,0.097908,,44,6
3,2,APMM,31,3.764162,14.991691,130.189085,17.205989,0.017438,0.126555,,60,6
3,2,ind,31,10.269694,26.621351,156.967668,14.304945,0.032598,0.175059,,60,6
3,2,base,31,5.407637,8.177081,71.756715,4.789334,0.016976,0.125489,,45,6
3,2,APMM,32,19.140934,12.681876,156.394796,52.794518,0.015262,0.098828,,58,6
3,2,ind,32,52.136892,29.557593,263.706459,50.876718,0.046382,0.170771,,58,6
3,2,base,32,17.581661,9.137456,114.982040,17.105466,0.014819,0.102513,,44,6
3,2,APMM,33,1.663090,8.277259,98.401621,6.073952,0.018502,0.130172,,60,6
3,2,ind,33,1.819098,14.210529,117.847918,4.854706,0.029115,0.151983,,60,6
3,2,base,33,1.531899,5.348405,47.334952,1.599068,0.011001,0.092468,,45,6
3,2,APMM,34,8.589900,11.186196,138.712139,19.487292,0.023014,0.139621,,52,6
3,2,ind,34,10.323013,18.945313,167.520993,12.043218,0.035829,0.172021,,52,6
3,2,base,34,5.918062,8.952797,85.656334,6.241851,0.019311,0.133117,,41,6
3,2,APMM,35,4.875715,9.715464,101.611304,11.593196,0.017791,0.123409,,58,6
3,2,ind,35,7.028998,16.237863,132.842932,8.332262,0.031039,0.158658,,58,6
3,2,base,35,3.855862,6.375027,57.412019,3.194458,0.014885,0.110440,,44,6
3,2,APMM,36,-1.835584,15.164991,144.478670,8.310342,0.027713,0.162639,,60,6
3,2,ind,36,-2.544027,22.527989,176.977403,9.135109,0.046558,0.196122,,60,6
3,2,base,36,1.524667,4.853104,69.056056,1.319557,0.019684,0.135094,,45,6
3,2,APMM,37,-5.814688,14.085016,113.401570,8.314811,0.018896,0.125748,,64,6
3,2,ind,37,-3.418923,20.260611,133.567352,8.766191,0.025074,0.139158,,64,6
3,2,base,37,1.004035,4.356328,45.961018,1.016616,0.010200,0.088104,,47,6
3,2,APMM,38,0.151516,11.588164,151.092160,7.553790,0.035435,0.169637,,60,6
3,2,ind,38,0.603870,20.362060,165.670729,8.021030,0.045163,0.192102,,60,6
3,2,base,38,1.669024,5.470263,69.222972,1.643629,0.021602,0.139246,,45,6
3,2,APMM,39,-2.826818,15.208899,156.579621,6.984899,0.022765,0.144279,,62,6
3,2,ind,39,-7.407024,19.910629,180.515008,8.435537,0.040972,0.180411,,62,6
3,2,base,39,0.503888,3.165670,64.631472,0.518310,0.015516,0.121498,,46,6
4,2,APMM,0,0.956039,13.459494,173.557059,17.412269,0.017003,0.124864,,86,10
4,2,ind,0,9.657377,34.831130,233.378266,18.839183,0.035432,0.168350,,86,10
4,2,base,0,3.787527,7.758140,85.281037,3.573004,0.013238,0.107052,,63,10
4,2,APMM,1,-7.648475,16.453482,153.258246,12.147334,0.019773,0.140573,,78,10
4,2,ind,1,-11.790080,24.208491,190.570201,15.456162,0.033360,0.169493,,78,10
4,2,base,1,1.053795,4.469454,78.898238,1.086261,0.015591,0.119954,,59,10
4,2,APMM,2,-3.603501,19.498785,188.038522,16.857425,0.021421,0.146974,,80,10
4,2,ind,2,-13.335538,26.412090,245.350891,14.963499,0.050604,0.205630,,80,10
4,2,base,2,2.279764,5.735037,97.386651,1.925736,0.019043,0.137524,,60,10
4,2,APMM,3,12.222106,25.558481,187.958442,44.032340,0.024797,0.138107,,88,10
4,2,ind,3,17.918604,45.186223,240.060595,29.722286,0.039357,0.168842,,88,10
4,2,base,3,7.989532,11.554370,89.221079,8.758697,0.015856,0.102148,,64,10
4,2,APMM,4,8.060366,20.746641,163.944591,35.893914,0.019320,0.115750,,92,10
